LINE,OD1,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,OD2,OD20,OD3,OD4,OD5,OD6,OD7,OD8,OD9,YD1,YD10,YD11,YD12,YD14,YD15,YD16,YD17,YD18,YD19,YD2,YD20,YD21,YD3,YD4,YD5,YD6,YD7,YD8,YD9
L1M2a1,0.7346699617346939,0.7730496453900709,0.7241056034482759,0.7285803571428572,0.5262993421052632,0.6453922872340426,0.7021631205673758,0.6140241228070176,0.6190476190476191,0.5,0.6950609485815602,0.7131346055327868,0.5,0.5370370370370371,0.6946898854961832,0.5,0.7409847122302159,0.7969987623762377,0.8225522610921502,0.5314685314685315,0.7088508702531645,0.8035574776785713,0.7664053143712575,0.5194767146915584,0.8147824074074075,0.7754076086956522,0.815844298245614,0.500000996492347,0.7243141084558824,0.7500275735294117,0.4762872023809524,0.760025,0.8172043010752689,0.8811507428278688,0.5520947265625,0.7334022435897435,0.8201039953399123,0.7244094488188977,0.5172413793103449,0.5238095238095238
L1M2b,0.872016006097561,0.892306170886076,0.9137200479233226,0.90875,0.8743431372549019,0.8995155709342562,0.8901551418439716,0.8855905720338983,0.9588235294117647,0.9120717592592592,0.8724652777777778,0.8648001126126126,0.8740577290076337,0.8744678217821782,0.792254213483146,0.913277376033058,0.8592301136363636,0.9184088010204082,0.8644268558951964,0.915972546728972,0.8428193231441047,0.9344350436681222,0.9114421378091874,0.8907974137931035,0.9118422865013774,0.9015506628787879,0.9058263677811549,0.8966979166666665,0.8627696078431374,0.8963407676348547,0.8520057397959182,0.8941059602649006,0.8827734375,0.8894926948051948,0.892827380952381,0.8737362637362637,0.8168280516431924,0.8991708669354839,0.9110252568493151,0.8190572033898305
L1M2c,0.9123084002677377,0.9203346189527214,0.9349423783936653,0.9491013998149006,0.9133291967509026,0.9372553228021977,0.9212086038961042,0.9492354667030569,0.9338962924359738,0.9457924342105264,0.9279869394083968,0.9234120551869723,0.9402728873239438,0.9413400484054667,0.9190099789915966,0.9293998015873016,0.9097290039062501,0.9376701337751595,0.8971785820451845,0.9099304644337016,0.9203119771332962,0.9297528594771243,0.9314770079495615,0.9271485075044803,0.9463917452830191,0.9339918582375479,0.9426295540201004,0.9173666897506929,0.9375998502246632,0.9356926771457088,0.9073128511235955,0.9296739417989417,0.9193940719484883,0.9371949404761905,0.9156455195783134,0.9303576610562974,0.9224102011494251,0.9103952802359881,0.9262521613832853,0.9004951251455181
L1M3,0.8719118109809034,0.8776747822504704,0.8853347159783597,0.8895979102842151,0.8889484175927849,0.8856691303831002,0.8781952149791955,0.8799315861069883,0.9005523042701049,0.883414306549616,0.8865732063565005,0.8920902928766213,0.8910840739805367,0.8778594371723429,0.8855382702772011,0.8869745197692649,0.8843014860166465,0.9002760817794893,0.8779412576901565,0.8890607797852631,0.8927042630880124,0.8846661267904254,0.8885287781453335,0.8776691867960636,0.9060814778062032,0.887454897788384,0.8916686761514346,0.8848279903096219,0.8804997884197749,0.8835228215767635,0.8679722672315652,0.8832183097416045,0.878858162020617,0.881929610286182,0.8894855698252838,0.879581314383823,0.8819613472443781,0.8820928213016428,0.8815562681531601,0.872230247276921
L1M3a,0.917480582524272,0.8895395342415319,0.9434042845911949,0.9348784628832706,0.8766595539647577,0.8491087200598803,0.8986717196819086,0.8764799836601307,0.8553213503753412,0.8915406543887149,0.9192578431372549,0.8990647825365207,0.8908634602969656,0.8902231844042839,0.8748296755725191,0.7931299955595027,0.8882838063647247,0.9055942282102462,0.9094399434156377,0.875855885692657,0.8817928177122822,0.861522244973939,0.8657765423242467,0.8770588113395225,0.9018517781316348,0.9094969769403826,0.916718918918919,0.907430425995025,0.902055811668682,0.9052448096885812,0.853060110569715,0.9180649177251733,0.9221692607003891,0.875035423136646,0.8904137529137528,0.8298049019607844,0.8690789962825278,0.8629241285012178,0.8746603185669277,0.8558418791574279
L1M3b,0.8947998166259171,0.8800511547811993,0.8744359305760708,0.8817887931034483,0.9025056689342403,0.9047687728937729,0.8747570016474464,0.8806466919739695,0.7826896067415731,0.8955741150442478,0.8896882183908046,0.8359259969325155,0.8375167410714285,0.8426860955056179,0.8774473180076627,0.8722990088105727,0.8676296977124183,0.8952587890624999,0.8862310779816513,0.8756278988868276,0.8953136281588449,0.9098141592920356,0.8671736623616236,0.8693979591836736,0.9136408243375861,0.8698150887573964,0.8682327205882352,0.8453223495702006,0.8655776283618583,0.8907351434426232,0.854074655591572,0.8574907354618015,0.8717393453427066,0.8914352375565608,0.8376027397260275,0.8640157766990291,0.9175208333333332,0.8668364811133199,0.8693399038461539,0.8660254396984924
L1M3c,0.5608147644423419,0.5518766539677468,0.5811263803887763,0.5941586977475648,0.5898197939097964,0.6004503195741488,0.5329690372242647,0.5575591535304846,0.6156210400783346,0.572466669380089,0.5910470429738921,0.5171965745380906,0.5754145647402825,0.5629678664630823,0.578258991486763,0.5442732746164106,0.5435253616959375,0.7005881193693694,0.518786291232319,0.4968050970777835,0.5482544320451753,0.5888659113350045,0.5219337990602149,0.5880582821302017,0.7228551431881226,0.6336236716649866,0.6078630222524978,0.6058888985679122,0.5590575330931351,0.5505357409346046,0.5537603241940523,0.5753585518398953,0.5981686551754875,0.580965666017542,0.5766077845684363,0.571439506086723,0.5941940764934353,0.5782508493081906,0.5333297603288496,0.574078694937664
L1M3d,0.9294677601809955,0.9459473299195318,0.9330292281498296,0.9323403241182078,0.9292471393897365,0.9215426096181049,0.9256721190091546,0.9408666173570019,0.9119845503544004,0.9423649635036496,0.9438428393745557,0.9454098169975187,0.9486438356164385,0.953502762957317,0.9275277669524551,0.9524429330831771,0.9446533495508984,0.9611113721804512,0.9465047141119222,0.9363828676942839,0.9179615952732645,0.942021750524109,0.941285393071286,0.9348604204339964,0.9510785514345698,0.9252376887131558,0.9292886855241264,0.943807350971199,0.9660059812760055,0.9092676819296811,0.9325993612491129,0.9489109589041097,0.9368410852713177,0.9349416180150122,0.9478701584507041,0.944957160342717,0.9560115934449092,0.950529084158416,0.9320536869340232,0.9384883822501747
L1M3de,0.9273636363636363,0.9662499999999999,0.9416605839416058,0.960631157635468,0.971105072463768,0.9789748677248677,0.878816287878788,0.9643361111111111,0.9759638554216867,0.9705698529411764,0.9444072420634921,0.9786931818181818,0.8906489071038252,0.951331300813008,0.8918794964028777,0.9509821428571428,0.9678306451612905,0.8929107142857142,0.952144691780822,0.9120335365853658,0.9427946428571429,0.9275680051813471,0.9115099557522123,0.9218680167597766,0.9454119774919614,0.9199281358885016,0.8952827380952382,0.9027110389610389,0.979080497382199,0.9210098870056498,0.9147940340909091,0.9282315022421525,0.952406462585034,0.9262164429530201,0.9494839449541285,0.9045084269662921,0.9503867574257426,0.9936458333333332,0.957635063559322,0.949244350282486
L1M3e,0.7081561649921025,0.7573388535483591,0.8079616216159758,0.7117945273588819,0.6057959110786549,0.6759816628812092,0.6191505945031175,0.6341683204768189,0.5992989140637686,0.6805458872408513,0.7589315474954313,0.6653279561023129,0.6440893971156064,0.6900355691624934,0.6871752462855296,0.6255368929108613,0.6626142964551782,0.7668361425524934,0.6258784354620688,0.615986411166029,0.6945454045419515,0.6368551980073339,0.708842371093097,0.6967198754136656,0.7563123573782962,0.6868847029980762,0.7192200340973236,0.6868398833136392,0.7143700417478739,0.6019699327796781,0.6282362618152008,0.7201506175605303,0.724058913199426,0.6551377890023199,0.609116835418035,0.6325362412805043,0.6425544397730415,0.6547049561332905,0.6744204302799909,0.6364515052957737
